央视频道,#genre#
CHC家庭影院,http://61.184.46.85:9901/tsfile/live/1023_1.m3u8
CHC动作电影,http://61.184.46.85:9901/tsfile/live/1024_1.m3u8
世界地理高清,http://61.184.46.85:9901/tsfile/live/1025_1.m3u8
金鹰纪实高清,http://61.184.46.85:9901/tsfile/live/1026_1.m3u8
卡酷卡通高清,http://61.184.46.85:9901/tsfile/live/1027_1.m3u8
金鹰卡通高清,http://61.184.46.85:9901/tsfile/live/1028_1.m3u8

淮南频道,#genre#
CCTV-1高清,http://218.23.192.33:9999/newlive/live/hls/1/live.m3u8
CCTV-2高清,http://218.23.192.33:9999/newlive/live/hls/2/live.m3u8
CCTV-3高清,http://218.23.192.33:9999/newlive/live/hls/3/live.m3u8
CCTV-4高清,http://218.23.192.33:9999/newlive/live/hls/4/live.m3u8
CCTV-5高清,http://218.23.192.33:9999/newlive/live/hls/5/live.m3u8
CCTV-6高清,http://218.23.192.33:9999/newlive/live/hls/7/live.m3u8
CCTV-7高清,http://218.23.192.33:9999/newlive/live/hls/8/live.m3u8
CCTV-8高清,http://218.23.192.33:9999/newlive/live/hls/9/live.m3u8
CCTV-9高清,http://218.23.192.33:9999/newlive/live/hls/10/live.m3u8
CCTV10高清,http://218.23.192.33:9999/newlive/live/hls/11/live.m3u8
CCTV12高清,http://218.23.192.33:9999/newlive/live/hls/12/live.m3u8
CCTV14高清,http://218.23.192.33:9999/newlive/live/hls/14/live.m3u8
CCTV17高清,http://218.23.192.33:9999/newlive/live/hls/16/live.m3u8
安徽卫视高清,http://218.23.192.33:9999/newlive/live/hls/17/live.m3u8
湖南卫视高清,http://218.23.192.33:9999/newlive/live/hls/18/live.m3u8
东方卫视高清,http://218.23.192.33:9999/newlive/live/hls/19/live.m3u8
浙江卫视高清,http://218.23.192.33:9999/newlive/live/hls/20/live.m3u8
江苏卫视高清,http://218.23.192.33:9999/newlive/live/hls/21/live.m3u8
北京卫视高清,http://218.23.192.33:9999/newlive/live/hls/22/live.m3u8
天津卫视高清,http://218.23.192.33:9999/newlive/live/hls/23/live.m3u8
广东卫视高清,http://218.23.192.33:9999/newlive/live/hls/24/live.m3u8
河南卫视高清,http://218.23.192.33:9999/newlive/live/hls/25/live.m3u8
湖北卫视高清,http://218.23.192.33:9999/newlive/live/hls/26/live.m3u8




